Title,Address,Headline Room Type,Cost (AUD),Review Score,# of Reviews
Garden Motor Inn,Gundagai,Budget Queen Room,130,7.7,1113
The Ophir Hotel,Orange,Family Room,130,8.1,471
Parkhaven Motel,Goulburn,Budget Double Room,130,7.9,1305
Cedar Lodge Motel,Armidale,Standard Queen Room,130,8.5,511
El Toro Motel,Warwick Farm,Standard Family Room,130,7.0,852
Bank Hotel Dungog,Dungog,Budget Double Room,130,8.1,154
Abraham Lincoln Motel,Tamworth,Deluxe Double Room,130,8.1,473
Elm Court Motel,Albury,Queen Room,130,7.6,1378
YHA Newcastle Beach,Newcastle,Double Plus Two with Shared Bathroom,130,7.8,990
Thomas Lodge Motel,Tocumwal,Standard Triple Room,130,7.7,81
Town and Country Motor Inn,Tamworth,Standard Double Room,130,7.9,376
Hotel Queanbeyan Canberra,Queanbeyan,Superior Queen Room,130,8.3,414
Highlands Hotel,Mittagong,Standard Twin Room with Shared Bathroom,130,7.6,705
Boomerang Way Tourist Park,Tocumwal,Double Room,131,8.6,113
Azalea Motel,Coonabarabran,Deluxe Queen Room,131,7.6,875
Aspire Newcastle,Newcastle,Twin Room,131,5.3,562
Reign Inn Newcastle,Newcastle,Economy Queen Room (Not Pet Friendly),131,7.9,1835
Town Centre Motor Inn,Merimbula,Budget Queen Room,131,7.4,614
Ashleigh Court Motor Inn,Mulwala,Standard King Room,132,9.1,673
8 Blue Room,Beecroft,Double Room with Private Bathroom,132,N/A,N/A
Golden River Motor Inn,Moama,Deluxe Queen Room,132,9.0,326
Time and Tide Hotel Motel,Deewhy,Deluxe Double Room,132,7.6,631
Finley Country Club Hotel Motel,Finley,Deluxe Queen Room,132,8.3,198
Discovery Parks - Narooma Beach,Narooma,Glamping Tents,132,8.8,581
Grand Hotel Rockdale,Sydney,Double Room with Shared Bathroom,132,6.2,396
Gold Reef Adelong,Adelong,Double Room with Private Bathroom,133,8.6,60
Coffs Shearwater Motel,Coffs Harbour,Deluxe Double Room,133,7.1,1424
Comfort Inn Dubbo City,Dubbo,Standard Queen Room - Non Smoking,133,7.7,743
Rosehill Hotel,Sydney,Double Room with Shared Bathroom,133,5.5,618
Memphis Motor Inn,Parkes,Economy Queen (Non Pet Friendly Room),133,7.9,131
Lil Darling,Sydney,Bed in 6-Bed Mixed Dormitory Room,133,8.3,92
Carinya Caravan Park,Downside,Double Room with Private Bathroom,134,9.0,1
Halfway Creek Studio,Halfway Creek,One-Bedroom Apartment,134,8.9,26
Altona Motel,Uralla,Double Room,134,8.6,502
Cowra Motor Inn,Cowra,Budget Double or Twin Room,134,6.7,461
Discovery Parks - Casino,Casino,Standard Cabin - Sleeps 2,134,8.4,220
Inverell Motel,Inverell,Standard Single or Twin Room,134,6.6,584
Pleasurelea Tourist Resort & Caravan Park,Batemans Bay,The Bunkhouse,134,7.6,422
Squid's Ink Motel,Belmont,Standard Queen Room,134,7.7,2052
YHA Sydney Central,"Sydney CBD, Sydney",Bed in 5-Bed Mixed Dormitory Room with Shared Bathroom,134,8.1,7101
Golden Age Motor Inn,Queanbeyan,Queen Studio (no Pets),134,8.6,888
Cute Private Studio Flat with AIRCON!,Hay,One-Bedroom House,135,8.1,27
Club Motel Armidale,Armidale,Standard Queen Room,135,8.6,410
A Private Ensuite with AC and TV,Austral,Double Room with Private Bathroom,135,8.9,38
Warrumbungles Mountain Motel,Coonabarabran,Triple Room with View,135,7.5,290
Civic Motor Inn,Cowra,Standard Double Room,135,7.4,581
Oasis on Beamish Hotel,"Campsie, Sydney",King Room with Shared Bathroom,135,7.4,520
Holbrook Motor Village,Holbrook,Queen Cottage,135,8.7,867
Perrington Estate,Nyngan,Queen Room with Shared Bathroom,135,9.1,184
Kookaburra Lodge,Jindabyne,Double Room with Shared Bathroom,135,8.7,1332
Meninya Palms Resort Moama,Moama,Standard Queen Room,135,7.8,1331
"Discovery Parks - Burrill Lake, Ulladulla",Burrill Lake,Superior 1 Bedroom Cabin,135,8.7,615
Almare Tourist Motel,Ballina,Budget Double Room,135,8.3,598
Hi Way Motor Inn,Yass,Double Room,135,7.2,1249
Moonraker Motor Inn,Parkes,Queen Room,135,7.7,1031
Econo Lodge Alabaster,Cowra,Moderate Room,135,8.9,408
Oasis Motor Inn,Broken Hill,Superior Twin Room,135,8.7,715
CBD GI Motel,Glen Innes,Standard Queen Room,135,8.1,361
Country Plaza Motel Taree,Taree,Deluxe King Suite,135,7.6,912
Willows Motel,Goulburn,Deluxe Queen Room,135,8.0,1246
Port Aloha Motel,Port Macquarie,Standard Room,135,8.0,1166
Hermitage Hill Country Retreat,Wellington,Standard Double Room with Shared Bathroom,135,8.1,286
Crossroads Hotel,Narrabri,Budget Double Room,135,7.5,1078
Travellers Motor Village,Newcastle,Budget Twin Cabin,135,7.8,1190
Seaton Arms Motor Inn,Albury,Queen Room,135,8.2,1008
City Park Motel and Apartments,Wagga Wagga,Double Room,135,7.6,528
Little oasis master suit,Sydney,One-Bedroom Apartment,135,10,1
Cute little castle short termstay,Guildford,Double Room,135,N/A,N/A
2 Green Room,Beecroft,Double Room,135,10,1
Z Room,Dundas Valley,Double Room with Private Bathroom,135,N/A,N/A
Room in Guest room - Backpackers Dream Girls Party NightCouples Love,Shoal Bay,Twin/Double Room,136,N/A,N/A
Valley View Motel,Murrurundi,Queen Room,136,7.6,154
Baulkham Hills Deluxe king room with air-con private bathroom and entrance,Baulkham Hills,Double Room with Private Bathroom,136,7.8,11
Runway 27 Getaway,Temora,Double Room with Private Bathroom,136,N/A,N/A
Discovery Parks - Dubbo,Dubbo,Economy Safari Tent,137,8.5,1432
Hotel Gosford,Gosford,Twin Room with Shared Bathroom,137,8.0,1125
Campsie Hotel,"Campsie, Sydney",Double Room with Shared Bathroom,137,6.8,458
Glen Rose Cottage,Duri,One-Bedroom House,137,N/A,N/A
Gateway Motel,Vineyard,Standard Twin Room,138,8.3,910
Grand Manor Motor Inn,Queanbeyan,Deluxe Queen Room,138,7.9,1726
Elms Motor Inn,Tumut,Queen Room,138,8.1,579
Mt Kuring-Gai Motel,Mount Kuring-Gai,Double Room,138,8.0,616
The Hampden Suites,Wagga Wagga,Deluxe Queen Room,138,7.9,174
Almond Inn Motel,Tamworth,Standard Double Room,138,8.1,398
Bega Southtown Motor Inn,Bega,Double Room,138,7.4,203
Hume Country Motor Inn,Albury,Standard Queen Room,138,8.1,1408
Maclean Hotel,Maclean,Queen Room with Shared Bathroom,138,7.3,65
"BreakFree on Broadway Sydney, an Accor Hotel","Glebe, Sydney",Standard Queen Room with Internal Window,138,6.9,619
Centrepoint Motel,Dubbo,Double Room (Non Pet-Friendly),139,7.8,700
Golden Grain Motor Inn,Tamworth,Standard Queen Room,139,8.9,342
Ingenia Holidays Lake Macquarie,Mannering Park,Budget Room (Not pet friendly),139,8.1,516
Temora Motel,Temora,Standard Triple Room,139,7.6,418
Pippi's at the Point,Warners Bay,Double Room,139,8.4,864
Charing Cross Hotel,"Sydney Eastern Suburbs, Sydney",Double Room,139,6.7,334
Lilac City Motor Inn & Steakhouse,Goulburn,Standard Queen Room,139,6.5,1383
Tamworth City Motel,Tamworth,Comfort Double Room,139,7.0,1699
Yass Motel,Yass,Double Room,139,7.2,565
Windsor Castle Hotel,East Maitland,Double Room - Disability Access,139,8.5,839
Hume Inn Motel Albury CBD,Albury,Economy Twin Room,139,7.9,943
Fountain Court Motor Inn Albury,Albury,Queen Room,139,6.7,610
Lumeah by the Creek,Whian Whian,Studio with Garden View,139,N/A,N/A
Albury Paddlesteamer,Albury,Queen Room (Upper Level),139,8.2,2317
Crystal Fountain Motel Albury,Albury,Standard Twin Room,140,7.7,1495
Studios On Beaumont,Newcastle,King Studio,140,7.1,1097
Sandy Hollow Tourist Retreat,Sandy Hollow,Queen Room,140,8.2,177
"Mantra Castle Hill Sydney, an Accor Hotel",Castle Hill,Queen Studio,140,6.1,700
The Albion Hotel,Wickham,Double Room,140,7.6,25
Balranald Club Motel,Balranald,Deluxe King Suite,140,8.4,1067
Lakeview Motor Inn,Belmont,Deluxe King Room,140,7.6,560
The Aston Motel Tamworth,Tamworth,Deluxe Queen (not pet friendly),140,8.8,963
Westside Motor Inn,Sydney,Double Room,137,7.4,1344
Dorrigo Mountain Holiday Park,Dorrigo,Family Cabin,140,7.0,611
Holbrook Motel,Holbrook,Deluxe Queen Room,140,9.1,668
Springmead B&B,Rydal,Double Room with Private Bathroom,140,9.2,387
Cessnock Vintage Motor Inn,Cessnock,Deluxe Double Room,140,7.8,345
Ocean Front Motel,The Entrance,Budget Double Room - Ground Floor,140,8.8,2055
Country Roads Motor Inn,West Wyalong,Deluxe Queen Room,140,8.6,136
Byer Fountain Motor Inn,Holbrook,Double Room,140,7.6,1902
Highway Motor Inn Taree,Taree,Queen Room,140,8.4,975
South Goulburn Caravan Park,Goulburn,Ringer Cabin (Pet Friendly),140,7.5,148
Motel Meneres,Corowa,Queen Room,140,9.1,367
Ulladulla Motel,Ulladulla,Queen Room,140,8.1,529
Knickerbocker Hotel,Bathurst,Queen Room,140,8.0,1262
Hotel Canobolas,Orange,Double Room,140,7.3,1521
Robbie Burns Hotel Wyndham,Burragate,Standard Queen Room,140,6.6,5
Adrian Motel,Forbes,Queen Room,140,7.7,263
Chinnock B&B,Gilgandra,Double Room with Shared Bathroom,140,9.3,102
Yambil Inn,Griffith,Double Room,140,8.3,556
Heritage Motor Inn Goulburn,Goulburn,Standard Queen Room,140,8.1,662
Homestead Motel,Dubbo,Double Room,140,8.1,1156
Coonamble Motel,Coonamble,Double Room,140,5.3,135
Citrus Motel,Griffith,Triple Room,140,6.2,879
Broadway Apartment,West Wyalong,Studio Apartment,140,8.0,46
Barham Colonial Motel,Barham,Standard Double or Twin Room,140,7.0,123
Motel Margeurita,Queanbeyan,Double Room,140,7.9,282
Outback Villas,Broken Hill,Two-Bedroom Villa,140,8.3,9
The Pacific House,"Woolloomooloo, Sydney",Bed in 10-Bed Mixed Dormitory Room,140,8.4,3257
The Bank House Ulmarra,Ulmarra,Queen Room,141,8.9,275
Discovery Parks - Ballina,Ballina,Economy Cabin - Sleeps 4,141,8.3,806
NRMA Jindabyne Holiday Park,Jindabyne,Cabin - No Bathroom - Use Parks main amenities,141,8.4,668
Burringa Garden Motel,Wagga Wagga,Superior Queen Room,141,8.4,1060
Lotus Saffron Sanctuary,Cabramatta,Deluxe Room,142,8.5,2
Ascot Motor Inn,Hornsby,Deluxe Queen Room,142,7.4,637
Billinudgel Hotel,Billinudgel,Queen Room,142,7.5,105
Australian Homestead Motor Lodge,Wagga Wagga,Standard Queen Room,142,9.1,1415
A lovely room next to a scenic and lively beach,"Brighton Le Sands, Sydney",Double Room,142,N/A,N/A
Relaxin,Dural,Deluxe Queen Room with Pool View,142,7.9,135
E Egg Room,Sydney,Double Room,142,N/A,N/A
Red Hill Cottage Walcha,Walcha,Two-Bedroom Cottage,142,9.6,95
Kingswood Motel,Tocumwal,Triple Room - Disability Access,143,7.6,594
Tamworth Motor Inn & Cabins,Tamworth,Queen Room,143,8.4,777
Pyramid Holiday Park,Tweed Heads,Budget Cabin,143,8.1,1346
Moama Motel,Moama,Moama Motel Queen and Single Room,143,7.7,316
Palms Oasis Motel,Coopernook,Double Room,143,7.1,337
Karuah Motor Inn,Karuah,Deluxe Queen Room,143,8.0,584
Gundagai Gabriel Motor Inn,Gundagai,Double Room,143,7.6,1120
Henry's Quirindi,Quirindi,Double Room - Disability Access,143,7.8,210
The Edge Motel,Buronga,Basic Triple Room with Shared Bathroom,143,5.8,173
White Lanterns Motel,Armidale,Queen Room,144,8.6,492
Mercure Hunter Valley Gardens,Pokolbin,King Studio,144,8.0,1648
Settlers Motor Inn,Tenterfield,Executive Queen Room,144,8.3,278
Gulgong Tourist Park,Gulgong,Deluxe Queen Studio,144,9.2,226
Atlas Motel,Dubbo,Queen Room,144,6.8,803
ibis Thornleigh,Thornleigh,Standard Queen Room,144,7.2,1632
Harrigan's Hunter Valley,Pokolbin,Studio,144,7.8,3430
Gundagai Cabins & Tourist Park,Gundagai,Deluxe Queen Cabin,144,7.9,880
Halfway Motel,Eden,Twin Room,144,6.8,670
Lake Jindabyne Hotel,Jindabyne,Triple Room with Garden View,144,8.7,1416
Jindy Inn,Jindabyne,Superior King Room with Lake View - Top Floor,144,9.2,1365
Millthorpe Hotel,Millthorpe,Superior Double Room,144,6.9,66
Royal Hotel Capertee,Capertee,Double or Twin Room with Shared Bathroom,144,8.2,124
Forhad villa,Bankstown,Double Room with Private Bathroom,144,4.0,3
Green Valley Hotel,Mount Pritchard,Deluxe Queen Room,145,7.6,125
Guesthouse koonawarra,Dapto,Family Room,145,8.1,11
Maclin Lodge Motel,Campbelltown,Standard Room,145,8.1,2273
Mercure Sydney Blacktown,Blacktown,Standard Queen Room,145,7.3,2112
Surf Beach Motel Newcastle,Newcastle,Budget Queen Room,145,8.8,2581
Albury City Motel,Albury,Superior Queen Room,145,8.5,2888
The Lansdowne Hotel,"Chippendale, Sydney",Double Room with Private Bathroom,145,7.3,521
Potters Apartments,Cessnock,Standard Queen Room,145,8.2,1142
Narrandera Club Motor Inn,Narrandera,Standard Queen Room,145,7.9,654
Motel Maclean,Maclean,Standard Twin Room,145,8.6,905
Rest Point Motor Inn,Glen Innes,Standard Queen Room,145,8.1,679
Crown Motel Wellington,Wellington,Double Room,145,6.8,25
Poplars Inn Mittagong,Mittagong,Queen Room,145,7.7,1362
Colonial Motor Inn,West Wyalong,Studio - Disability Access,145,7.8,332
Deni Golf Resort,Deniliquin,Double or Twin Room,145,8.5,149
Crown Hotel Motel,Grafton,Standard Twin Room,145,6.9,1013
Terminus Hotel,Coonamble,Deluxe Family Suite,145,8.2,276
Cousins Motor Inn,Inverell,Queen Room,145,8.7,562
Parkes Federation Motel,Parkes,Double or Twin Room,145,8.1,233
Quirindi Sunflower Motor Inn,Quirindi,Budget Double Room,145,8.2,372
Thurgoona Country Club Resort,Thurgoona,Standard Double or Twin Room,145,8.0,296
Gateway Motor Inn - Self Check-In,Broken Hill,Queen Room,145,8.8,318
Goulburn Central Motel,Goulburn,Standard Queen Room,145,7.7,758
Jumbuck Motor Inn,Tenterfield,Queen Room (Next to Highway),145,8.6,419
Forster and Wallis Lake Motel,Forster,Basic Double Room,145,8.4,964
Cowra Crest Motel,Cowra,Standard Double Room,145,8.7,646
San Michele Adaminaby,Adaminaby,Deluxe Double or Twin Room with Mountain View,145,9.3,18
Kalaru Holiday Park,Tathra,Budget Cabin,145,8.3,54
Redhill Cooma Motor Inn,Cooma,Standard Triple Room,145,7.6,1683
6 Purple Room,Beecroft,Double Room,145,5.0,1
4 Yellow Room,Beecroft,Double Room,145,N/A,N/A
Tarcutta Retreat,Tarcutta,Triple Room with Bathroom,146,6.3,310
Bidgee Motor Inn,Hay,Queen Room,146,8.2,587
ibis Sydney Airport,"Mascot, Sydney",Standard Double Room,146,7.1,6516
Toreador Motel,Coffs Harbour,Queen Room - Not Pet Friendly,146,7.2,1060
Culcairn Motor Inn,Culcairn,Large Queen Room,146,8.0,247
Kite Street Units,Orange,Double Room,146,7.0,1975
Central Coast Motel,Wyong,Queen Room - Not Pet Friendly,146,6.1,575
Old Willyama Motor Inn,Broken Hill,Deluxe Room,146,7.9,464
Stockmans Motel,Tamworth,Economy Queen Room H,146,8.4,1056
Tasman Holiday Parks - Kioloa Beach,Kioloa,Economy Cabin,146,7.7,474
Mad Monkey Bayswater,"Rushcutters Bay, Sydney",Bed in 12-Bed Mixed Dormitory Room,147,8.3,303
Tequila Sunrise Hostel Sydney,"Sydney CBD, Sydney",Double Pod in Shared Dorm,147,8.1,2547
Ashwood Motel,Gosford,Basic Triple Room,147,8.2,1651
Sleepy Hill Motor Inn,Raymond Terrace,Executive Queen-Non Pet Friendly,147,8.0,1860
Goulburn Motor Inn,Goulburn,Queen Room,147,8.6,1729
Discovery Parks - Harrington,Harrington,Economy Studio Cabin,147,8.0,612
Ashton Motel,Tumut,Standard Double Room,147,8.5,420
Tumut Farrington motel,Tumut,Queen Studio,147,8.2,195
Discovery Parks - Moama West,Moama,Economy 1 Bedroom Cabin,147,8.7,411
Boggabri Motel,Boggabri,Queen Room,147,9.2,83
Albury Townhouse Motel,Albury,Queen Room - Upstairs,147,8.1,1177
Queanbeyan Motel,Queanbeyan,Deluxe King Room,148,8.4,941
The Centennial Hotel Gulgong,Gulgong,Queen Room,148,8.6,47
Wake Up! Byron Bay,"Belongil Beach, Byron Bay",Bed in 10-Bed Mixed Dormitory Room,148,8.7,1073
Mercure Newcastle,Newcastle,Standard King Room,148,6.7,1777
Bishops Lodge Narrandera,Narrandera,Queen Room,148,7.4,1007
Deniliquin Motel,Deniliquin,Double Room,148,9.0,399
Albury Allawa Motor Inn,Albury,Double or Twin Room,148,8.1,1027
A Railway Lodge,Taree,Double Room with Private Bathroom,148,7.4,337
Ocean View Motor Inn Merimbula,Merimbula,Queen Room with Kitchenette,148,8.3,698
The Bexley Motel,Sydney,Budget Double Room,149,8.0,811
Arts Factory by Nomads,Byron Bay,Twin Room - Shared Facilities,149,6.9,1331
Narimba Motel,Port Macquarie,Queen Room with Sea View,149,7.7,1198
Grand Hotel,Newcastle,Double Room 9,149,7.7,1467
Cotswold Gardens,Armidale,Deluxe Queen Room,149,8.0,964
Allonville Gardens Motel,Wagga Wagga,Double Room,149,6.8,719
"Discovery Parks - Lake Hume, New South Wales",Lake Hume,Economy 2 Bedroom Cabin,149,8.4,505
Plainsman Motel,Forbes,Budget Double Room,149,7.8,467
Ingenia Holidays Sydney Hills,Dural,1 Bedroom Kookaburra Cabin,149,7.5,474
Guildford Hotel,Guildford,Queen Room with Shared Bathroom,149,7.4,335
Elite Motor Inn,Armidale,Deluxe Double Room,149,8.0,284
Ozzie Pozzie Backpackers - Port Macquarie YHA,Port Macquarie,Double or Twin Room,149,8.6,1420
Motel Kempsey,Kempsey,Standard Double Room-No Pets Allowed,149,8.0,342
Bajimba Eco Camp & and Farm Stay,Sandy Flat,Tent,149,N/A,N/A
Quality Inn Dubbo International,Dubbo,Budget King Room,149,7.4,1313
Tea Gardens Hotel,Tea Gardens,Family Room Premium,150,7.8,594
Private bath garden view guest room pet friendly,Sydney,Queen Room with Garden View,150,10,1
Echo Point Discovery Motel,Katoomba,Garden View Queen Bed,150,7.9,1811
Gundagai Tourist Suites,Gundagai,Tiny Home,150,8.6,1179
Sapphire Waters Motor Inn,Merimbula,Ground Queen Suite,150,8.7,1159
Acacia Rose Motor Inn,Barham,Family Room,150,9.0,205
Golden Sands Motor Inn,Forster,Standard Double Room,150,7.9,1441
Gulgong Motel,Gulgong,Queen Room,150,8.0,489
Hilltop Motel,Broken Hill,Executive Queen Room,150,8.2,735
Nicholas Royal Motel - No Pets Allowed,Hay,Standard Queen Room,150,8.6,681
Blackheath Motor Inn,Blackheath,Standard Queen or Twin Room,150,7.5,794
Mudgee Vineyard Motor Inn,Mudgee,Standard Queen Room,150,8.9,937
Cherry Blossom Motor Inn,Young,Twin Room,150,7.9,950
Statesman Motor Inn,Corowa,Queen Suite,150,8.0,684
Howlong Golf Resort,Howlong,Classic Room,150,8.8,321
Tuncurry Beach Motel,Tuncurry,Queen Room,150,8.3,486
The Shamrock Hotel Balranald,Balranald,Double or Twin Room,150,6.8,158
SkyLodge Temora,Temora,Queen Room (Shared Lounge & Kitchen),150,8.7,304
Billabong Motel,Gunnedah,Double Room,150,7.3,459
Econo Lodge Griffith Motor Inn,Griffith,Standard Queen Room - Non-Smoking,150,7.6,423
Capri Motel,Balranald,Small Double Room,150,7.9,756
Avaleen Lodge Motor Inn,Nowra,Deluxe King Room,150,7.7,392
Paradise Palms Caravan Park,Rathmines,Family Studio,150,6.7,48
Barooga River Gums Motor Inn,Barooga,Family Studio,150,9.4,285
Hermitage Motel,Muswellbrook,Queen Room,150,6.7,219
Coppers Hill Private Accommodation,Gloucester,Queen Room,150,8.6,286
Caravilla Motor Inn,Taree,Standard Queen Room,150,8.2,911
Stagecoach Inn Motel,Tamworth,Queen Room,150,8.3,819
T&V Suites,Windsor,Double Room with Private Bathroom,150,7.9,318
Bridges on Meninya Motel & Apartments,Moama,Queen Room,150,8.5,459
Bega Caravan Park,Bega,Double Room with Private Bathroom,150,7.8,97
Molly Morgan Motor Inn,Maitland,Standard Double or Twin Room,150,8.0,822
Cute Studio Apartment in Maroubra,"Maroubra, Sydney",One-Bedroom Apartment,150,N/A,N/A
#2 43 Waddell Street Canowindra NSW,Canowindra,One-Bedroom Apartment,150,10,1
Tasman Holiday Parks - Merimbula,Merimbula,Holiday Unit (1BR),150,8.3,665
Holbrook Hotel,Holbrook,Double Room,151,8.6,243
Nightcap at Hume Hotel,Bankstown,Queen Studio,151,7.8,699
Discovery Parks - Eden,Eden,Economy Studio Cabin,151,8.7,787
Country Gardens Motel,Coonabarabran,Superior Queen Room,151,8.3,889
Wauchope Motel,Wauchope,Queen Room,151,7.5,550
YHA Byron Bay,Byron Bay,Bed in 10-Bed Mixed Dormitory Room,151,8.3,2849
Tumut Valley Motel Pet Friendly,Tumut,Standard Twin Room,151,8.5,796
Alabaster Motor Inn,Taree,Queen Room,151,7.6,808
Hamilton's Queanbeyan Motel,Queanbeyan,Standard Queen Room,151,8.9,510
Hills of Gold Motel at Nundle,Nundle,Deluxe Double Room,151,8.8,174
Castlereagh Lodge Motel,Coonamble,Deluxe Queen Room,151,7.7,260
Sunflower Motel,Warialda,Queen Room,151,9.1,199
Breakout Motor Inn,Cowra,Deluxe Queen Room,151,8.6,254
Jesmond Executive Villas,Newcastle,Small Studio Apartment,152,6.0,1760
Relaxing bell tent in northern NSW,Tabulam,Tent,152,10,1
Lone Pine Motel,Corowa,Deluxe Double or Twin Room,152,8.6,70
The Cottage Motor Inn Albury CBD,Albury,Twin Room,152,8.1,1475
Barham Bridge Motor Inn,Barham,King Room,152,9.2,113
Fern Bay Motel,Newcastle,Economy Queen Room,152,8.7,1778
All Travellers Motor Inn,Coonabarabran,Queen Room,152,8.1,690
Katoomba Hotel,Katoomba,Double Room,152,7.7,365
Mid Town Inn Narrabri,Narrabri,Queen Room,152,8.2,1380
Best Western Club Quirindi Motel,Quirindi,Executive King Room,152,9.1,455
