Title,Address,Headline Room Type,Cost (AUD),Review Score,# of Reviews
Wynyard Hotel,"Sydney CBD, Sydney",Double Room with Shared Bathroom,119,6.8,1211
Bundanoon Country Inn Motel,Bundanoon,Queen Room,119,8.0,1064
Mount View Motel,Bulahdelah,Double Room with Private Bathroom,119,7.0,1473
Argyle Hotel Southern Highlands,Moss Vale,Triple Room with Shared Bathroom,119,6.8,364
Woopi Backpackers,Woolgoolga,Twin Room,119,7.6,474
Ingenia Holidays Avina,Vineyard,Lakeside Motel Family Room,119,7.7,575
Hurstville Ritz Hotel,Sydney,Double Room with Shared Bathroom,119,7.4,532
Rainbow Motel Queanbeyan,Queanbeyan,Standard Queen Room,119,8.1,32
The Premier Hotel Broadmeadow,Newcastle,Queen Room with Shared Bathroom,119,7.1,303
ibis Budget Wentworthville,Wentworthville,Queen Room,120,6.6,2741
Econo Lodge Savannah Park Tamworth,Tamworth,Queen Room Non Smoking,120,9.0,397
Abermain Hotel,Abermain,Standard Double Room with Shared Bathroom,120,7.9,77
Northside Hotel Albury,Lavington,Queen Room,120,6.2,89
Cozy Family Room with Private Bathroom in Spacious Home - M8,Merrylands,Family Room with Private Bathroom,120,6.8,15
YHA Blue Mountains Katoomba,Katoomba,Family Room with Shared Bathroom,120,8.5,2322
Lake Forbes Motel,Forbes,Standard Double,120,6.6,1068
Abbotsleigh Motor Inn,Armidale,Budget Double Room,120,7.5,1004
The Apple Inn,Batlow,Standard Double or Twin Room,120,8.3,358
Sportslander Motor Inn,Moama,Standard Double Room,120,8.4,574
Tattersalls Hotel Casino,Casino,Deluxe King Suite,120,7.2,89
"The Globe Hotel, Rylstone",Rylstone,Queen Room with Shared Bathroom,120,7.2,247
Farm Stay Pepperina,Kootingal,Deluxe Double or Twin Room with Mountain View,120,10,1
Two Rivers Motel,Wentworth,Standard Twin Room,120,8.2,56
Tweed River Motel,Murwillumbah,Standard Twin Room,120,8.4,246
The Light Horse Hotel,Harden,Standard Queen Room,120,7.4,67
Country Roads Motor Inn,Narrandera,Queen Room,120,7.9,875
Silver Haven Motor Inn,Broken Hill,Superior Twin Room,120,8.0,588
Camellia Motel,Narrandera,Deluxe Queen Room,120,8.4,789
Jerilderie Motor Inn,Jerilderie,Deluxe King Room,120,7.9,391
Clansman Motel,Glen Innes,Superior Queen Room,120,7.0,260
The Swiss Motel,Cooma,Queen Room,120,6.4,319
Baths Motel Moree,Moree,Double or Twin Room,120,8.0,472
Molika Springs Motel,Moree,Queen Studio,120,7.5,670
Helensburgh Hotel,Helensburgh,Queen Room,120,8.3,438
Sunrise Motel,Barooga,Queen Room,120,8.9,265
Spacious private room minutes away from Eastwood,Sydney,Deluxe Double Room,120,N/A,N/A
Spacious private room study room attached minutes away from Eastwood,Sydney,Deluxe Double Room with Balcony,120,N/A,N/A
The Sherwood Hotel,Lismore,Queen Room,120,7.8,773
ibis Budget - St Peters,Sydney,Standard Queen Room,121,5.8,5281
William Farrer Hotel,Wagga Wagga,Twin Room with Shared Bathroom,121,5.6,49
Commercial Travellers House,Gulgong,Budget Double or Twin Room with Shared Bathroom,121,7.9,127
Nimbin waterfall retreat,Nimbin,Budget Double Room,121,8.3,119
NRMA Yarrawonga Mulwala Holiday Park,Mulwala,Budget Cabin,121,8.4,409
Toongabbie Hotel,Blacktown,Economy Double Room with Shared Bathroom,121,6.4,439
Romano's Hotel & Suites Wagga Wagga,Wagga Wagga,Standard Queen Room,121,7.5,930
The Village Glebe,"Glebe, Sydney",Twin Room,120,7.1,1810
Realhome,Blacktown,Two-Bedroom House,122,5.6,8
LUX Jesmond,Jesmond,Studio,122,6.1,159
Woomargama Motel,Woomargama,Double Room,122,8.9,1371
Birch Motel Tocumwal Previously Known as Kanimbla Motor Inn,Tocumwal,Queen Room,122,6.4,200
Mad Monkey Potts Point,"Potts Point, Sydney",Bed in 4-Bed Mixed Dormitory Room,122,7.7,550
John Oxley Motel,Port Macquarie,Double Room,123,8.5,1402
Desert Sand Motor Inn,Broken Hill,Standard Queen Room Upstairs,124,7.7,959
Blue Mountains Highway Motel,Katoomba,Queen Room with Ensuite,124,5.7,994
Comfort Inn Crystal Broken Hill,Broken Hill,Room with Four Single Beds,124,7.7,531
790 on George Backpackers,"Sydney CBD, Sydney",Twin Room with Shared Bathroom,124,7.5,1907
Bomaderry Hotel,Bomaderry,Double Room,124,6.6,20
Cootamundra Gardens Motel,Cootamundra,Standard Double Room,124,6.9,497
Bradman Motor Inn,Cootamundra,Deluxe Double Room,124,7.4,416
Wattle Tree Motel,Cootamundra,Standard Double Room,124,6.4,286
Palace Hotel Mortlake Sydney,Sydney,Superior Triple Room,124,5.8,322
Crest Motor Inn,Queanbeyan,Standard Double Room,124,7.7,1103
Kaputar Motel,Narrabri,Standard Double Room,124,8.2,558
"Spacious Queen Room in Large, Two Story Home - GB",Holroyd,Queen Room,125,9.0,2
Hill End Lodge,Hill End,Standard Double or Twin Room,125,8.0,509
Blue Mountains Heritage Motel,Katoomba,Standard Twin Room,125,7.9,1161
Isis Motel Scone,Scone,Budget Double Room,125,8.4,736
Estelle Kramer Motel,Armidale,Queen Room,125,8.2,568
Prince of Wales Hotel,Wagga Wagga,Budget Queen and Single Room (first floor only),125,7.8,550
Gilgandra Motel,Gilgandra,Deluxe Queen Room,125,8.5,553
Country Motor Inn,Singleton,Budget Room,125,7.5,1083
Marriott Park Motel,Nowra,Queen Room,125,7.9,439
Merriwa Golden Fleece Motor Inn & Lodge incorporating Merriwa Motor Inn & Motel,Merriwa,Deluxe Double Room,125,9.2,223
Anchor Bay Motel,Greenwell Point,Deluxe Twin Room,125,8.2,593
Tenterfield Motor Inn,Tenterfield,Standard Double Room,125,7.4,1420
Station Hotel Motel Kurri,Kurri Kurri,Twin Room with Kitchen,125,7.3,825
Golden Peak Motel PeakHill,Peak Hill,Twin Room,125,7.3,153
Oasis Motel,Peak Hill,Queen Room,125,8.6,296
Watersedge Motel,Woy Woy,Double Room with Kitchenette,125,5.9,184
Sturt Motel Balranald,Balranald,Deluxe Queen Room,125,8.1,493
Narromine Aerodrome Tourist Park and Motel,Narromine,Queen Room with Garden View,125,8.0,1
Citigate Motel Newcastle,Newcastle,Executive Queen Room,125,8.0,760
Gosford Inn Motel,Gosford,Queen Room,125,7.8,1024
Maitland City Motel,Maitland,Standard Double or Twin Room,125,7.3,796
Wagga Wagga Tourist Park,Wagga Wagga,Standard Double Room,125,6.2,534
The Mullum Motel,Mullumbimby,Queen Room,125,7.5,477
Greenacre Hotel,Sydney,Queen Room with Shared Bathroom,125,6.2,782
Maria Motel,Moree,Double Room,125,7.9,377
Deepwater Hotel,Deepwater,Double Room with Private Bathroom,125,8.0,63
Ibis Styles The Entrance,The Entrance,Standard Queen Room,125,8.4,1303
Tudor Inn Newcastle,Newcastle,Queen Suite,125,5.7,1315
Tally Ho Motor Inn,Tenterfield,Standard Double Room,120,7.5,143
Barham Riverland Motel,Barham,Standard Queen Room,126,8.1,171
The Argent Motel,Broken Hill,Standard Queen Room,126,8.1,1120
Ingenia Holidays Nepean River,Emu Plains,Standard Studio Queen,126,8.1,498
Albury Garden Court Motel,Albury,Queen Room,126,7.7,1182
Cessnock Motel,Cessnock,Queen Room,126,7.9,875
Olympia Motel,Queanbeyan,Queen Room,126,8.1,257
Daydream Motel and Apartments,Broken Hill,Deluxe Double Room,126,7.4,299
The Village Surry Hills,Sydney,Bed in 12-Bed Mixed Dormitory Room,126,7.7,255
Harden Country Club Motel,Harden,Double or Twin Room,126,8.6,110
Banana Coast Caravan Park,Coffs Harbour,Standard Two-Bedroom Cabin,127,7.6,1660
No14 Lovel St,Katoomba,Double Room with Shared Bathroom,127,9.3,777
Hillston Motel,Hillston,Standard Double Room,127,8.0,174
Copper City Motel,Cobar,Budget Double Room,127,7.2,2039
Darling Junction Motor Inn,Wentworth,Budget Double or Twin Room,127,8.1,210
Quality Inn Carriage House,Wagga Wagga,Superior Queen Room - Non-Smoking,127,7.7,827
Self Contained Granny Flat - 2 BR,Bankstown,Two-Bedroom Apartment,127,7.9,14
Mariner Motel,Laurieton,Deluxe Queen Room,127,8.7,675
Sturt Motel,Broken Hill,Standard Double Room,127,8.0,829
Mad Monkey Kings Cross,"Potts Point, Sydney",Bed in 14-Bed Mixed Dormitory Room,127,7.7,502
BEST WESTERN PLUS Apollo Hotel Newcastle,Newcastle,Deluxe Queen Room,127,8.6,4098
Great Northern Hotel,Kempsey,Standard Twin Room,127,7.4,319
Alexander Motor Inn,Moree,Queen Room,128,7.5,416
Three Explorers Motel,Katoomba,Superior Twin Room,128,7.9,1202
Artesian Motor Inn under new management RAMS Motel,Coonamble,Standard Twin Room,128,7.3,34
Wiley Park Hotel,Sydney,Double Room with Shared Bathroom,128,5.4,377
Winchester Motel,Moree,Double Room,128,7.1,520
Albury Classic Motor Inn,Albury,DQueen Room Downstairs - No Pets,128,7.8,1039
Armidale Inn,Armidale,Queen Studio,129,7.9,800
River Motel,Queanbeyan,Queen Studio (No Pets),129,8.3,882
Finley Motel,Finley,Queen Room,129,7.9,299
Ingenia Holidays Eden Beachfront,Eden,Budget Studio Cabin,129,8.3,633
"Century Motor Inn, Finley",Finley,Budget Double Room,129,7.3,94
Royal Hotel,Springwood,Double Room,129,6.7,283
Charles Sturt Motor Inn,West Wyalong,Queen Room,129,6.8,373
Villawood Hotel,Villawood,Compact King Room with Shared Bathroom,129,6.8,382
Moruya Monarch Hotel,Moruya,Standard Double Room with Shared Bathroom,129,7.5,348
Panania Hotel Sydney,Panania,Double Room with Shared Bathroom,129,5.2,228
Hotel Concord,Sydney,Queen Room with Shared Bathroom,129,6.6,214
The Albion Hotel,Cootamundra,Queen Room with Shared Bathroom,130,8.2,207
Bellview Motel,Narrabri,Standard Queen Room,130,8.3,752
Bed and Breakfast,Cooranbong,Deluxe King Studio,130,9.5,155
Katoomba Town Centre Motel,Katoomba,Classic Double Room,130,7.7,650
Berrigan Motel,Berrigan,Standard Queen Room,130,8.3,168
Illinois Hotel,Sydney,Queen Room with Shared Bathroom,130,6.9,384
Club Inn Motel,West Wyalong,Standard Queen Room,130,8.2,730
The Wayfarer Motel,Muswellbrook,Deluxe Queen Room,130,5.1,495
Cameo Inn Motel,West Wyalong,Queen Room,130,9.1,588
Narrabri Motel and Caravan Park,Narrabri,Standard Double Room,130,8.1,106
